# GOA version used: 2020-10-06
#GO	IC	Frequency
GO:0042811	6.236711504161898	5.798137307955441e-07
GO:0005092	4.316004742590245	4.830535269613431e-05
GO:1901160	4.163813716015134	6.857823192264665e-05
GO:0043788	8.41855509210667	3.814564018391737e-09
GO:0071038	5.145553820042933	7.152307534484508e-06
GO:0090652	8.373154231241813	4.234925441977782e-09
GO:1905745	8.41855509210667	3.814564018391737e-09
GO:0047051	7.18586983543218	6.51823726131245e-08
GO:0010196	5.931416716629484	1.1710711536462634e-06
GO:0062167	8.373154231241813	4.234925441977782e-09
GO:0006276	4.344616901471418	4.522547100205244e-05
GO:0010254	7.003581744135852	9.917866447818517e-08
GO:0042442	8.41855509210667	3.814564018391737e-09
GO:1903120	8.41855509210667	3.814564018391737e-09
GO:0005801	4.3648096019891245	4.317082995552151e-05
GO:2000318	5.830844127087759	1.4762362751176024e-06
GO:0102452	8.583809844104218	2.60729490452498e-09
GO:0080138	8.583809844104218	2.60729490452498e-09
GO:0035350	5.888355393903588	1.293137202234799e-06
GO:0051987	5.363942037549783	4.32571559685623e-06
GO:0009444	6.702551748471871	1.9835732895637035e-07
GO:0034283	8.583809844104218	2.60729490452498e-09
GO:0003088	8.41855509210667	3.814564018391737e-09
GO:0002585	6.409954920344753	3.890855298759572e-07
GO:0080154	5.51222005030158	3.0745385988237404e-06
GO:0045004	5.624764707415852	2.3726588194396605e-06
GO:0097562	8.373154231241813	4.234925441977782e-09
GO:0071942	5.930674462177365	1.1730743474278457e-06
GO:0019528	8.41855509210667	3.814564018391737e-09
GO:0030392	8.41855509210667	3.814564018391737e-09
GO:1903216	7.6404038417230264	2.2887384110350425e-08
GO:0044110	7.7195850877706516	1.9072820091958688e-08
GO:0035776	6.361650240770198	4.3486029809665804e-07
GO:0035815	6.163282587003364	6.866215233105127e-07
GO:0097287	8.41855509210667	3.814564018391737e-09
GO:0035258	4.931370096514797	1.171196871112621e-05
GO:0030840	8.41855509210667	3.814564018391737e-09
GO:0030160	6.257473983175466	5.527465197592958e-07
GO:0002131	6.504741239722954	3.1279424950812246e-07
GO:0071627	5.721876217243669	1.8972465980060464e-06
GO:1902184	6.971397060764451	1.0680779251496865e-07
GO:1903082	6.765342578331326	1.7165538082762818e-07
GO:0043533	6.659530558042336	2.1901277198009832e-07
GO:0019383	7.6404038417230264	2.2887384110350425e-08
GO:1902010	6.311345122458802	4.882641943541423e-07
GO:0010485	4.797697560384391	1.5933179161552152e-05
GO:0036519	8.41855509210667	3.814564018391737e-09
GO:1900006	5.746457234170953	1.7928450886441166e-06
GO:0075106	8.41855509210667	3.814564018391737e-09
GO:0019456	8.41855509210667	3.814564018391737e-09
GO:0035400	6.686182752813776	2.0597629745747343e-07
GO:1900845	8.41855509210667	3.814564018391737e-09
GO:0047814	8.583809844104218	2.60729490452498e-09
GO:0007414	6.168135089797777	6.789923952737292e-07
GO:0004406	8.41855509210667	3.814564018391737e-09
GO:2001112	6.746457234170953	1.7928450886441165e-07
GO:1900846	8.41855509210667	3.814564018391737e-09
GO:0032912	6.436283859067102	3.661981457656068e-07
GO:0102477	8.583809844104218	2.60729490452498e-09
GO:0021881	8.41855509210667	3.814564018391737e-09
GO:0070795	7.941433837387008	1.1443692055175213e-08
GO:0036279	7.272427056428432	5.3403896257484324e-08
GO:2001151	6.579706001369415	2.6320491726902986e-07
GO:0031137	4.745073395033323	1.798566934671704e-05
GO:0007361	8.41855509210667	3.814564018391737e-09
GO:0050620	5.3786054801560725	4.182101026858068e-06
GO:0102237	8.583809844104218	2.60729490452498e-09
GO:0103043	5.7695622483722975	1.699956277750287e-06
GO:0010085	6.183026645199122	6.561050111633788e-07
GO:0042610	6.6200220167586625	2.398711312162982e-07
GO:0008513	7.805658593720574	1.564376942714988e-08
GO:0060309	6.3932492268419	4.0434378594952414e-07
GO:0050601	7.680719857112274	2.085835923619984e-08
GO:0090074	6.592480289405844	2.555757892322464e-07
GO:1904370	7.816495100778708	1.5258256073566948e-08
GO:0043419	3.6393844470107575	0.00022941169463009748
GO:0042893	8.41855509210667	3.814564018391737e-09
GO:0009341	3.7973315793044513	0.0001594661175176734
GO:2000223	5.8832609720638995	1.3083954583083658e-06
GO:0016236	4.362680052960573	4.338303658116923e-05
GO:1990627	8.117525096442689	7.629128036783474e-09
GO:1904498	6.737313854731083	1.830990728828034e-07
GO:0004706	6.136651812761999	7.300425732669945e-07
GO:0044584	8.583809844104218	2.60729490452498e-09
GO:1901765	8.41855509210667	3.814564018391737e-09
GO:0071578	5.524793330048727	2.98680362640073e-06
GO:2000893	8.41855509210667	3.814564018391737e-09
GO:2000079	6.409954920344753	3.890855298759572e-07
GO:0103032	8.583809844104218	2.60729490452498e-09
GO:0017064	5.412961640460908	3.864011048506021e-06
GO:0102543	6.501024473787767	3.154826834475226e-07
GO:0019723	8.583809844104218	2.60729490452498e-09
GO:0060109	7.896032976522151	1.2704776325933346e-08
GO:1904639	7.5154651051147265	3.0516512147133896e-08
GO:0036304	6.655127098543733	2.2124471306672077e-07
GO:0030176	3.849889135772925	0.00014128981752070473
GO:0031948	6.686161332283702	2.0598645699315382e-07
GO:1990351	2.3123193265220654	0.004871701536209887
GO:0016553	3.583352980239461	0.00026100391383041785
GO:0060422	6.791418154605964	1.6165228408054878e-07
GO:0039648	4.311616641368492	4.87959029232671e-05
GO:0004581	5.147647197063462	7.117915089353196e-06
